number;id;name;rarity;status;relative_path
1;joker;Le Bouffon de Cuivre;common;live;assets/images/jokers/common/001-joker.webp
2;greedy-joker;L’Avare aux Diamants;common;live;assets/images/jokers/common/002-greedy-joker.webp
3;lusty-joker;La Courtisane Écarlate;common;live;assets/images/jokers/common/003-lusty-joker.webp
4;wrathful-joker;Le Duelliste de Pique;common;live;assets/images/jokers/common/004-wrathful-joker.webp
5;gluttonous-joker;L’Ogre aux Trèfles;common;live;assets/images/jokers/common/005-gluttonous-joker.webp
6;jolly-joker;Le Joyeux Compère;common;live;assets/images/jokers/common/006-jolly-joker.webp
7;zany-joker;Le Fou aux Trois Couronnes;common;live;assets/images/jokers/common/007-zany-joker.webp
8;mad-joker;Le Bouffon des Deux Paires;common;live;assets/images/jokers/common/008-mad-joker.webp
9;crazy-joker;Le Prophète de la Suite;common;live;assets/images/jokers/common/009-crazy-joker.webp
10;droll-joker;Le Saltimbanque des Couleurs;common;live;assets/images/jokers/common/010-droll-joker.webp
11;sly-joker;Le Filou des Paires;common;live;assets/images/jokers/common/011-sly-joker.webp
12;wily-joker;Le Renard aux Trois Lames;common;live;assets/images/jokers/common/012-wily-joker.webp
13;clever-joker;Le Stratège des Deux Maisons;common;live;assets/images/jokers/common/013-clever-joker.webp
14;devious-joker;Le Serpent de la Suite;common;live;assets/images/jokers/common/014-devious-joker.webp
15;crafty-joker;L’Artisan des Couleurs;common;live;assets/images/jokers/common/015-crafty-joker.webp
16;half-joker;Le Demi-Bouffon;common;live;assets/images/jokers/common/016-half-joker.webp
17;joker-stencil;Le Masque Inachevé;uncommon;live;assets/images/jokers/uncommon/017-joker-stencil.webp
18;four-fingers;Les Quatre Doigts;uncommon;live;assets/images/jokers/uncommon/018-four-fingers.webp
19;mime;Le Mime des Cryptes;uncommon;live;assets/images/jokers/uncommon/019-mime.webp
20;credit-card;La Dette du Marchand;common;live;assets/images/jokers/common/020-credit-card.webp
21;ceremonial-dagger;La Dague du Sacrifice;uncommon;future;assets/images/jokers/uncommon/021-ceremonial-dagger.webp
22;banner;L’Étendard du Mercenaire;common;live;assets/images/jokers/common/022-banner.webp
23;mystic-summit;Le Pic de l’Oracle;common;live;assets/images/jokers/common/023-mystic-summit.webp
24;marble-joker;La Gargouille de Marbre;uncommon;live;assets/images/jokers/uncommon/024-marble-joker.webp
25;loyalty-card;Le Serment de Fidélité;uncommon;live;assets/images/jokers/uncommon/025-loyalty-card.webp
26;eight-ball;L’Orbe du Hasard;common;live;assets/images/jokers/common/026-eight-ball.webp
27;misprint;Le Grimoire Mal Imprimé;common;live;assets/images/jokers/common/027-misprint.webp
28;dusk;Le Crépuscule;uncommon;live;assets/images/jokers/uncommon/028-dusk.webp
29;raised-fist;Le Poing Levé;common;live;assets/images/jokers/common/029-raised-fist.webp
30;chaos-the-clown;Le Prince du Chaos;common;live;assets/images/jokers/common/030-chaos-the-clown.webp
31;fibonacci;La Spirale du Sage;uncommon;live;assets/images/jokers/uncommon/031-fibonacci.webp
32;steel-joker;Le Chevalier d’Acier;uncommon;live;assets/images/jokers/uncommon/032-steel-joker.webp
33;scary-face;Le Visage de l’Épouvante;common;live;assets/images/jokers/common/033-scary-face.webp
34;abstract-joker;L’Arcaniste Abstrait;common;live;assets/images/jokers/common/034-abstract-joker.webp
35;delayed-gratification;Le Trésor Patient;common;live;assets/images/jokers/common/035-delayed-gratification.webp
36;hack;Le Coupe-Bourse;uncommon;live;assets/images/jokers/uncommon/036-hack.webp
37;pareidolia;Le Visage dans les Flammes;uncommon;live;assets/images/jokers/uncommon/037-pareidolia.webp
38;gros-michel;La Truffe du Gobelin;common;live;assets/images/jokers/common/038-gros-michel.webp
39;even-steven;Pair, le Paladin;common;live;assets/images/jokers/common/039-even-steven.webp
40;odd-todd;Impair, le Roublard;common;live;assets/images/jokers/common/040-odd-todd.webp
41;scholar;L’Érudit;common;live;assets/images/jokers/common/041-scholar.webp
42;business-card;La Carte du Négociant;common;live;assets/images/jokers/common/042-business-card.webp
